City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
637,Kloulklubed,7.0419,134.2556,88.3,73,99,9.62,PW,2022-09-15 05:15:13
638,Polson,47.6936,-114.1632,59.72,76,6,2.53,US,2022-09-15 05:15:13
639,Coihaique,-45.5752,-72.0662,39.81,100,100,6.91,CL,2022-09-15 05:11:55
640,Naze,28.3667,129.4833,86.92,77,15,15.86,JP,2022-09-15 05:15:13
641,Kiama,-34.6833,150.8667,62.58,77,100,5.99,AU,2022-09-15 05:14:55
642,Teguldet,57.3064,88.1667,53.64,51,26,1.72,RU,2022-09-15 05:16:14
643,Rosario,-32.9468,-60.6393,53.98,67,0,6.91,AR,2022-09-15 05:16:14
644,Kon Tum,14.35,108.0,80.19,76,96,4.94,VN,2022-09-15 05:16:14
645,Enugu,6.4402,7.4943,71.08,98,98,3.56,NG,2022-09-15 05:16:14
646,Tautira,-17.7333,-149.15,76.33,76,53,24.76,PF,2022-09-15 05:16:15
647,Fort Nelson,58.8053,-122.7002,62.19,45,75,5.75,CA,2022-09-15 05:15:28
648,Zhireken,52.8249,117.3076,50.85,78,99,8.77,RU,2022-09-15 05:16:15
649,Nesterovskaya,43.2386,45.0503,61.99,75,100,2.01,RU,2022-09-15 05:16:15
650,Choya,52.0108,86.5467,47.14,80,100,3.33,RU,2022-09-15 05:16:16
651,Ankpa,7.3706,7.6253,69.64,99,93,4.32,NG,2022-09-15 05:16:16
652,Bousso,10.4795,16.7117,72.81,89,64,5.68,TD,2022-09-15 05:16:16
653,Ambilobe,-13.2,49.05,77.52,41,87,5.84,MG,2022-09-15 05:16:17
654,Sungairaya,0.7,108.9,86.4,61,79,8.12,ID,2022-09-15 05:16:17
655,Tilichiki,60.4667,166.1,46.71,54,79,13.62,RU,2022-09-15 05:16:17
656,Camacha,33.0833,-16.3333,69.22,78,40,8.05,PT,2022-09-15 05:16:17
657,Broken Hill,-31.95,141.4333,68.99,22,0,19.35,AU,2022-09-15 05:16:18
658,Ossora,59.2353,163.0719,48.47,64,81,2.37,RU,2022-09-15 05:16:18
659,Baghdad,33.3406,44.4009,84.11,34,0,5.75,IQ,2022-09-15 05:11:21
660,Manta,-0.95,-80.7333,67.78,88,100,8.05,EC,2022-09-15 05:16:18
661,Bilma,18.6853,12.9164,88.68,18,4,4.21,NE,2022-09-15 05:16:19
662,Lukaya,-0.1489,31.8748,68.74,79,91,0.22,UG,2022-09-15 05:16:19
663,Porbandar,21.6422,69.6093,81.1,87,100,17.65,IN,2022-09-15 05:16:19
664,Cedar City,37.6775,-113.0619,54.57,94,0,5.75,US,2022-09-15 05:16:19
665,Hammerfest,70.6634,23.6821,41.45,81,75,18.41,NO,2022-09-15 05:16:20
666,Chala,-7.5833,31.2667,59.77,57,92,8.95,TZ,2022-09-15 05:16:20
667,Hailar,49.2,119.7,80.38,22,4,1.99,CN,2022-09-15 05:16:20
668,Inirida,3.8653,-67.9239,74.84,93,80,2.57,CO,2022-09-15 05:16:21
669,Boda,4.3189,17.4695,68.22,97,100,2.28,CF,2022-09-15 05:16:21
670,Kuloy,61.0305,42.4925,49.64,92,100,7.18,RU,2022-09-15 05:16:21
671,Buchanan,5.8808,-10.0467,75.69,87,91,7.11,LR,2022-09-15 05:16:22
672,Bukachacha,52.9833,116.9167,49.73,87,100,4.07,RU,2022-09-15 05:16:22
673,Koshurnikovo,54.1667,93.3,44.47,87,100,1.97,RU,2022-09-15 05:16:22
674,Acajutla,13.5928,-89.8275,78.42,86,95,7.87,SV,2022-09-15 05:16:22
675,Mirnyy,62.5353,113.9611,42.24,93,100,1.99,RU,2022-09-15 05:16:23
676,Kerrville,30.0474,-99.1403,72.25,72,0,0.0,US,2022-09-15 05:16:23
677,Mangrol,21.1167,70.1167,80.65,84,100,10.33,IN,2022-09-15 05:16:23
678,Obidos,-1.9175,-55.5181,78.19,60,28,3.83,BR,2022-09-15 05:16:23
679,Eyl,7.9803,49.8164,82.71,62,64,26.11,SO,2022-09-15 05:16:24
680,Curitiba,-25.504,-49.2908,55.18,73,100,10.36,BR,2022-09-15 05:15:03
681,Catamarca,-28.4696,-65.7852,64.06,28,0,15.77,AR,2022-09-15 05:16:24
682,Yatou,37.15,122.3833,72.23,94,100,12.59,CN,2022-09-15 05:16:24
683,Comarapa,-17.9,-64.4833,43.41,87,100,1.32,BO,2022-09-15 05:16:25
684,Isla Vista,34.4133,-119.861,73.31,67,0,5.01,US,2022-09-15 05:15:27
685,Ushibuka,32.1906,130.0228,87.57,63,4,3.22,JP,2022-09-15 05:16:25
686,Oskarshamn,57.2645,16.4484,50.99,90,20,11.21,SE,2022-09-15 05:16:26
687,Namie,37.4833,141.0,74.98,64,99,8.32,JP,2022-09-15 05:16:26
688,Boddam,57.4667,-1.7833,49.48,74,45,19.37,GB,2022-09-15 05:16:26
689,Cootamundra,-34.65,148.0333,53.94,96,100,7.78,AU,2022-09-15 05:16:26
