City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Mount Isa,AU,2022-09-14 05:09:31,-20.7333,139.5,92.97,13,0,6.91
59,Ouesso,CG,2022-09-14 05:09:31,1.6136,16.0517,69.22,94,89,2.57
60,Padang,ID,2022-09-14 05:09:32,-0.9492,100.3543,84.25,73,100,1.1
61,Lloydminster,CA,2022-09-14 05:09:32,53.2835,-110.0016,58.78,57,100,16.62
62,Constantine,DZ,2022-09-14 05:09:32,36.365,6.6147,79.3,40,47,4.85
63,Birao,CF,2022-09-14 05:09:33,10.2849,22.7882,68.95,97,100,3.29
64,Kenai,US,2022-09-14 05:09:33,60.5544,-151.2583,49.14,98,75,6.91
65,Busselton,AU,2022-09-14 05:09:33,-33.65,115.3333,58.96,69,94,19.66
66,Hermanus,ZA,2022-09-14 05:09:33,-34.4187,19.2345,54.81,70,0,7.96
67,Deniliquin,AU,2022-09-14 05:09:34,-35.5333,144.9667,64.35,45,19,12.39
68,Athabasca,CA,2022-09-14 05:09:34,54.7169,-113.2854,52.92,63,47,3.31
69,Cherskiy,RU,2022-09-14 05:09:34,68.75,161.3,36.91,90,100,5.48
70,Castro,BR,2022-09-14 05:09:35,-24.7911,-50.0119,58.62,99,100,3.36
71,Gawler,AU,2022-09-14 05:08:00,-34.6,138.7333,65.25,70,98,11.1
72,Sirathu,IN,2022-09-14 05:09:35,25.65,81.3167,83.03,77,96,9.37
73,Makasar,ID,2022-09-14 05:04:51,-5.14,119.4221,91.45,49,20,8.05
74,Grand Gaube,MU,2022-09-14 05:09:35,-20.0064,57.6608,76.37,58,75,8.01
75,Pacific Grove,US,2022-09-14 05:07:00,36.6177,-121.9166,64.42,87,20,8.05
76,Souillac,MU,2022-09-14 05:09:37,-20.5167,57.5167,72.79,64,94,7.58
77,Socorro,US,2022-09-14 05:09:37,31.6546,-106.3033,74.41,60,75,23.02
78,Acarau,BR,2022-09-14 05:09:38,-2.8856,-40.12,77.59,86,18,16.02
79,Kununurra,AU,2022-09-14 05:09:35,-15.7667,128.7333,98.58,26,0,5.75
80,Bida,NG,2022-09-14 05:09:39,9.0833,6.0167,72.63,97,39,1.97
81,Arys,KZ,2022-09-14 05:09:39,42.4252,68.795,75.29,20,0,10.76
