City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
526,Itarema,BR,77.45,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
531,Mahon,ES,77.56,39.8885,4.2658,ARTIEM Capri
532,Kaihua,CN,75.0,23.3687,104.28,Zhongyu Hotel
537,Faya,SA,75.72,18.3851,42.4509,املاك خالد الشعشوع
546,Rabo De Peixe,PT,76.28,37.8,-25.5833,Quinta das Giestas
547,Xinyu,CN,91.8,27.8043,114.9334,Xinyu Beihu Hotel
549,Hurghada,EG,78.78,27.2574,33.8129,Sea Star Beau Rivage Hotel
550,Ewa Beach,US,80.55,21.3156,-158.0072,Base Lodging
554,Minas De Barroteran,MX,78.93,27.6333,-101.2833,Motel Venecia
555,Bhindar,IN,82.65,24.5,74.1833,Hotel Rajmahal Bhindar
562,San Francisco Del Mar,MX,78.1,16.2333,-94.65,
564,Buraydah,SA,88.36,26.326,43.975,Mövenpick Qassim
568,Liuzhou,CN,92.66,24.3126,109.3892,Linjiang Inn
577,Kushima,JP,86.63,31.4583,131.2333,Hanaoka
579,Arlit,NE,91.36,18.7369,7.3853,Case de Passage De la Prefecture
588,Neiafu,TO,79.48,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
590,Sumenep,ID,87.98,-7.0167,113.8667,OYO 3271 Homestay Pandian
592,Mandera,KE,77.77,3.9366,41.867,Red Sea Resort & Suites Mandera County
595,Ambulu,ID,83.3,-8.345,113.6058,Hotel Ambulu Jember
599,Vieux-Habitants,GP,76.57,16.0589,-61.7659,Habitation GETZ
600,Tancheng,CN,91.22,27.4375,115.4976,
602,Ambunti,PG,93.33,-4.2365,142.8448,AMBUNTI HIDE INN
605,Sungaipenuh,ID,80.8,-2.0833,101.3833,Penginapan Citra Alam
609,Muana,BR,75.47,-1.5283,-49.2167,Pousada Bella do Marajó
613,Bandar-E Lengeh,IR,91.51,26.5579,54.8807,کافی نت پارس
621,Sabang,ID,81.19,5.8933,95.3214,Hotel Citra
624,Sola,VU,79.41,-13.8833,167.55,Leumerus Bungalows
631,Camacari,BR,76.77,-12.6975,-38.3242,Sítio Blasi
634,Luba,GQ,76.89,3.4568,8.5547,
635,Saint Pete Beach,US,76.14,27.7253,-82.7412,Sirata Beach Resort
637,Kloulklubed,PW,88.3,7.0419,134.2556,Storyboard Beach Resort
640,Naze,JP,86.92,28.3667,129.4833,Shishime Hotel
644,Kon Tum,VN,80.19,14.35,108.0,Hoa đà spa- homestay
646,Tautira,PF,76.33,-17.7333,-149.15,Pension Oaoa
653,Ambilobe,MG,77.52,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
654,Sungairaya,ID,86.4,0.7,108.9,Rumah Kuku Moimoi Shelly
659,Baghdad,IQ,84.11,33.3406,44.4009,Baghdad Hotel
661,Bilma,NE,88.68,18.6853,12.9164,Expeditions Ténére voyages
663,Porbandar,IN,81.1,21.6422,69.6093,Lords Inn Porbandar
667,Hailar,CN,80.38,49.2,119.7,Holiday Inn & Suites Hulunbuir
671,Buchanan,LR,75.69,5.8808,-10.0467,Kamaneahn Hotel Inc
674,Acajutla,SV,78.42,13.5928,-89.8275,Laureles
677,Mangrol,IN,80.65,21.1167,70.1167,Hotel The Royal Honours
678,Obidos,BR,78.19,-1.9175,-55.5181,Hotel Amazônia Center
679,Eyl,SO,82.71,7.9803,49.8164,Amiin Hotel
685,Ushibuka,JP,87.57,32.1906,130.0228,Hotei
